/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_140.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_141.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_142.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_143.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_144.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_145.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_146.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_147.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_148.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_149.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_150.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_151.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_152.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_153.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_154.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_155.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
